연번,업소명,업소도로명주소,지정일자
121,The 좋은마트,대전광역시 서구 관저남로12번길 11. 1층 (관저동),2018-07-05
122,애쓰다smoke,대전광역시 서구 둔산중로 54. 센티온빌딩 109호 (둔산동),2018-07-04
123,GS25 갈마스타점,대전광역시 서구 대덕대로161번길 13 (갈마동),2018-06-29
124,온누리 상품권,대전광역시 서구 둔산북로 36. 1층 103호 (둔산동),2018-06-29
125,미림할인마트,대전광역시 서구 관저서로 24. 지하1층 (관저동),2018-06-26
126,땡보네(아이스크림&세계맥주할인전문점),대전광역시 서구 관저로 172. 103호 (관저동),2018-06-25
127,(주)쌍방울 정림위탁상설점,대전광역시 서구 정림로 60 (정림동),2018-06-25
128,패밀리식자재마트,대전광역시 서구 청사로 120. 지하1층 (월평동),2018-06-25
129,바르다모바일 내동점,대전광역시 서구 동서대로 1001-1. 1층 (내동),2018-06-20
130,씨아이씨(CIC),대전광역시 서구 둔지로 19. 2층 201호 (둔산동. 갤러리아타운),2018-06-19
131,지에스수퍼마켓관저북로점,대전광역시 서구 관저북로 21 (관저동),2018-06-18
132,씨유대전괴정온누리점,대전광역시 서구 갈마로245번길 3. 지하층 C101호 (괴정동. 나이스타운),2018-06-18
133,이마트24 대전갈마미래점,대전광역시 서구 대덕대로135번길 19. 1층 (갈마동),2018-06-18
134,여기마트죠,대전광역시 서구 문정로2번길 95. 주안빌딩 106.107호 (탄방동),2018-06-08
135,GS25관저하늘,대전광역시 서구 관저중로95번길 105. 105호 (관저동),2018-06-07
136,영마트24,대전광역시 서구 갈마로 217. 1층 (괴정동),2018-06-07
137,미니스톱대전다온점,대전광역시 서구 신갈마로155번길 38. 1층 (갈마동),2018-06-07
138,계룡마트(도안점),대전광역시 서구 원도안로179번길 76-3. 그레이스빌 1층 (도안동),2018-06-01
139,KC할인마트,대전광역시 서구 대덕대로195번길 64. 카이로스빌딩 1층 (둔산동),2018-05-23
140,이마트24 대전탄방퍼스트점,대전광역시 서구 문정로2번길 127. 126호 (탄방동. 더 퍼스트 주상복합 아파트),2018-05-23
141,미니슈퍼,대전광역시 서구 계백로 1465. 1층 (도마동),2018-05-23
142,지에스25 관저9단지점,대전광역시 서구 관저서로 24. 상가동 103. 104호 (관저동),2018-05-21
143,우리동네 주유소,대전광역시 서구 청사로 224 (둔산동),2018-05-14
